Inventory,date,time,station,Address,pedal,ebike,empty docks,capacity
1,1-Dec,4.10 am,31104,Adams Mill & Columbia Rd NW,7,0,8,15
1,1-Dec,4.10 am,31110,20th St & Florida Ave NW,4,0,11,15
1,1-Dec,4.10 am,31113,Columbia Rd & Belmont St NW,11,5,3,19
1,1-Dec,4.10 am,31114,18th St & Wyoming Ave NW,13,1,8,22
1,1-Dec,4.10 am,31116,California St & Florida Ave NW,6,2,11,19
1,1-Dec,4.10 am,31296,Columbia & Ontario Rd NW,11,2,10,23
2,9-Nov,1.37 am,31104,Adams Mill & Columbia Rd NW,11,0,4,15
2,9-Nov,1.37 am,31110,20th St & Florida Ave NW,1,0,13,14
2,9-Nov,1.37 am,31113,Columbia Rd & Belmont St NW,10,0,9,19
2,9-Nov,1.37 am,31114,18th St & Wyoming Ave NW,3,0,19,22
2,9-Nov,1.37 am,31116,California St & Florida Ave NW,16,0,2,18
2,9-Nov,1.37 am,31296,Columbia & Ontario Rd NW,12,1,10,23